idc   ide    volume peso  recompensa duracao
4 46 6 19 1591 138
4 87 19 6 1204 453
4 136 6 19 486 789
4 235 19 6 217 732
4 240 6 19 1243 977
4 295 19 6 324 237
4 339 6 19 996 631
4 399 6 19 1185 822
4 402 6 19 406 430
4 426 19 6 1813 756
4 448 19 6 1108 1031
4 57 13 9 820 552
4 168 9 13 211 1039
4 234 9 13 1442 168
4 432 13 9 1857 1017
4 74 13 10 483 694
4 92 13 10 738 190
4 173 13 10 1614 331
4 191 10 13 419 950
4 247 10 13 347 187
4 289 13 10 629 410
4 296 10 13 414 478
4 347 10 13 1315 328
4 406 13 10 606 592
4 111 6 22 794 783
5 111 6 22 794 783
5 217 6 22 562 614
5 250 6 22 597 540
5 346 6 22 666 504
5 351 22 6 683 553
5 71 7 20 1880 705
5 89 7 20 412 756
5 188 20 7 386 964
5 266 7 20 1577 1043
5 284 7 20 1241 674
5 326 20 7 894 300
5 282 9 16 814 281
5 63 25 6 216 182
5 96 25 6 653 107
5 102 25 6 647 415
5 4 6 26 1991 318
5 16 6 26 1291 1035
5 73 26 6 1627 732
5 160 6 26 1143 180
5 238 26 6 1156 1073
5 370 26 6 774 314
5 58 16 10 1508 454
5 70 16 10 1081 1064
5 104 16 10 1309 888
5 208 16 10 396 514
6 208 16 10 396 514
6 236 10 16 1202 634
6 41 7 23 1303 229
6 209 7 23 907 152
6 371 23 7 936 609
6 407 23 7 983 372
6 69 28 6 1065 121
6 78 6 28 1820 271
6 297 28 6 1953 299
6 312 28 6 1636 436
6 333 28 6 1208 309
6 429 28 6 707 517
6 150 13 13 1714 399
6 155 13 13 1008 398
6 356 13 13 967 355
6 428 13 13 1679 146
6 449 13 13 1710 800
6 90 19 9 1059 580
6 105 9 19 1281 241
6 129 9 19 775 997
6 276 19 9 1897 881
6 145 6 29 1800 116
6 148 6 29 1859 261
6 307 6 29 834 900
7 307 6 29 834 900
7 53 7 26 634 751
7 95 7 26 1166 552
7 110 26 7 738 375
7 272 7 26 1257 632
7 302 26 7 618 442
7 178 10 19 1278 267
7 385 10 19 709 692
7 436 19 10 1820 348
7 93 9 22 909 192
7 120 9 22 452 901
7 273 22 9 1805 279
7 411 22 9 1509 598
7 101 20 10 1663 207
7 176 20 10 1569 720
7 242 7 29 743 826
7 335 7 29 598 161
7 2 16 13 1121 641
7 8 16 13 367 703
7 32 16 13 707 359
7 49 16 13 1718 114
7 137 16 13 654 720
8 137 16 13 654 720
8 199 16 13 1477 513
8 202 16 13 671 726
8 252 13 16 1838 354
8 380 13 16 1785 297
8 443 13 16 1894 625
8 151 22 10 1079 154
8 286 22 10 1233 546
8 322 10 22 1694 969
8 415 22 10 1848 196
8 183 9 25 1529 1008
8 249 9 25 849 1008
8 398 10 23 1205 1088
8 82 19 13 1784 152
8 115 19 13 1688 640
8 121 19 13 1537 614
8 147 19 13 1904 276
8 343 19 13 884 455
8 345 19 13 1040 651
8 358 19 13 1875 107
8 135 28 9 1185 918
9 135 28 9 1185 918
9 306 16 16 1633 195
9 331 16 16 878 697
9 354 16 16 706 408
9 403 16 16 772 229
9 409 16 16 527 1100
9 450 16 16 287 918
9 14 20 13 1542 128
9 77 13 20 1925 840
9 113 10 26 410 192
9 125 10 26 1229 237
9 205 26 10 574 593
9 287 20 13 848 198
9 338 20 13 1054 815
9 362 13 20 1951 729
9 386 20 13 636 446
9 434 10 26 1843 187
9 30 13 22 590 660
9 51 22 13 293 191
9 60 22 13 667 765
10 60 22 13 667 765
10 133 22 13 709 953
10 156 22 13 1897 272
10 175 22 13 226 631
10 143 29 10 1463 145
10 211 29 10 483 1038
10 227 10 29 1488 1094
10 244 10 29 676 526
10 257 10 29 1065 111
10 319 29 10 243 775
10 359 29 10 1657 287
10 424 10 29 1194 399
10 164 23 13 206 128
10 230 13 23 1714 347
10 320 13 23 916 1026
10 365 13 23 560 244
10 7 19 16 1967 865
10 40 16 19 1193 338
11 40 16 19 1193 338
11 162 16 19 1873 697
11 190 16 19 234 1001
11 291 19 16 1319 385
11 292 19 16 1012 845
11 327 19 16 1489 751
11 372 19 16 1351 615
11 83 16 20 816 1079
11 293 20 16 1200 991
11 314 20 16 823 524
11 413 20 16 851 446
11 12 25 13 1251 384
11 126 13 25 1467 1058
11 201 13 25 550 100
11 357 25 13 546 1056
11 414 25 13 609 1070
11 447 13 25 1026 365
11 29 13 26 396 664
12 29 13 26 396 664
12 122 13 26 1253 542
12 127 13 26 1073 1066
12 220 26 13 1295 104
12 323 13 26 1639 927
12 19 22 16 982 229
12 99 22 16 1819 768
12 106 22 16 644 313
12 108 16 22 1579 619
12 142 22 16 1175 863
12 184 22 16 1598 841
12 279 16 22 491 581
12 43 19 19 1437 576
12 45 19 19 873 118
12 328 19 19 1990 106
12 334 19 19 1956 207
13 334 19 19 1956 207
13 11 23 16 868 608
13 26 23 16 1918 1042
13 206 16 23 746 416
13 422 23 16 1936 498
13 10 13 29 1511 325
13 152 13 29 719 531
13 182 13 29 1255 923
13 239 29 13 1014 130
13 332 13 29 626 332
13 42 25 16 620 1002
13 171 25 16 1200 591
13 275 20 20 418 893
13 5 16 26 1590 728
13 23 26 16 403 402
13 161 16 26 1789 1077
14 161 16 26 1789 1077
14 169 26 16 1296 524
14 430 26 16 1303 358
14 66 22 19 783 277
14 97 19 22 1719 159
14 114 19 22 735 193
14 118 22 19 287 752
14 186 19 22 1804 622
14 214 22 19 1628 332
14 256 19 22 1260 355
14 267 22 19 602 291
14 340 19 22 691 728
14 355 19 22 1897 986
14 364 22 19 470 470
14 367 19 22 1440 777
14 405 19 22 1200 449
14 72 16 28 1821 660
15 72 16 28 1821 660
15 195 28 16 827 999
15 243 16 28 875 1094
15 285 16 28 1863 653
15 309 16 28 935 528
15 378 28 16 327 1010
15 65 23 20 1536 804
15 119 23 20 437 996
15 215 20 23 1236 246
15 317 20 23 1551 986
15 341 20 23 204 293
15 410 23 20 1786 1041
15 446 20 23 1325 338
15 31 29 16 1051 169
15 109 16 29 1694 404
16 109 16 29 1694 404
16 130 16 29 1739 656
16 131 16 29 533 935
16 170 16 29 1593 882
16 223 16 29 1883 380
16 278 29 16 584 203
16 290 29 16 1442 123
16 298 16 29 1142 878
16 310 16 29 1083 521
16 349 16 29 1002 441
16 419 16 29 1730 638
16 445 29 16 1369 817
17 445 29 16 1369 817
17 33 19 25 854 790
17 36 25 19 1889 468
17 48 19 25 1263 748
17 123 25 19 1753 524
17 159 19 25 844 478
17 237 19 25 305 782
17 181 22 22 930 324
17 277 22 22 318 898
17 288 22 22 626 1048
17 375 22 22 265 766
17 163 26 19 244 1055
17 232 26 19 1397 1043
17 373 19 26 309 271
17 400 19 26 836 356
17 56 26 20 971 308
18 56 26 20 971 308
18 185 20 26 1863 104
18 200 26 20 1645 318
18 212 23 23 1382 991
18 368 23 23 1366 481
18 425 23 23 881 353
18 6 19 28 946 1021
18 228 28 19 828 888
18 270 19 28 486 840
18 300 19 28 213 755
18 303 19 28 512 778
18 369 28 19 1240 826
18 177 22 25 1227 810
18 189 25 22 1331 509
19 189 25 22 1331 509
19 216 22 25 914 337
19 294 25 22 580 176
19 366 25 22 861 590
19 390 25 22 471 448
19 441 22 25 224 467
19 376 29 19 1268 1095
19 433 19 29 1523 353
19 13 26 22 1628 925
19 61 26 22 1348 605
19 100 26 22 1487 269
19 253 26 22 1065 616
19 391 26 22 1513 447
20 391 26 22 1513 447
20 421 26 22 1165 1100
20 35 29 20 1991 704
20 44 29 20 1160 237
20 224 29 20 1704 502
20 281 29 20 1972 641
20 59 23 26 1520 942
20 203 23 26 1594 1052
20 245 23 26 1913 600
20 258 28 22 330 563
20 264 22 28 1002 795
20 318 22 28 1717 549
20 408 22 28 347 1058
20 417 28 22 1166 491
21 417 28 22 1166 491
21 180 25 25 371 509
21 157 29 22 561 236
21 301 22 29 1448 487
21 382 22 29 1500 828
21 179 23 29 1789 900
21 350 29 23 1148 789
21 353 23 29 957 387
21 377 23 29 1232 389
21 55 26 26 1790 648
21 76 26 26 496 520
21 80 26 26 716 445
22 80 26 26 716 445
22 265 26 26 1170 838
22 337 26 26 1261 1009
22 3 25 28 1370 535
22 27 25 28 724 816
22 75 25 28 221 802
22 81 25 28 521 989
22 84 25 28 1909 396
22 192 25 28 1521 284
22 384 28 25 952 377
22 86 26 29 1233 434
22 116 29 26 719 600
23 116 29 26 719 600
23 158 29 26 1724 482
23 269 26 29 267 777
23 329 29 26 1522 215
23 418 26 29 610 917
23 64 29 29 763 971
23 79 29 29 1019 326
23 196 29 29 969 833
